_,Register,"Dictionary Version at introduction","Node or
Leaf",Level,"SMPTE Designator
(first 8 octets)",,,,,,,Version,"SMPTE Item Designator
(last 8 octets following Metadata Dictionary Universal Label) ",,,,,,,,,,,"Formatted as UL",,,,,,"Data Element Name","Data Element Definition",Type,,,,,,"Value Length","Value Range",,,"Defining Document",Notes
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,10,01,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.01.00.00.00.00,,,,,,"Organisation Identifiers","The broadcasting organisation concerned","ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set ",,,,,,"127 bytes max",,,,,
,Metadata,3,Leaf,5,06,0E,2B,34,01,01,01,3,1,1,10,1,1,0,0,0,,,,06.0E.2B.34.01.01.01.03.01.01.10.01.01.00.00.00,,,,,,"Organisation Identifiers","The internationally recognised unique identifier for a broadcasting organisation","16 bit Unicode String",,,,,,Variable,,,,,
,Metadata,4,Leaf,4,06,0E,2B,34,01,01,01,4,1,1,10,2,0,0,0,0,,,,06.0E.2B.34.01.01.01.04.01.01.10.02.00.00.00.00,,,,,,"Organisation Identifier Kind","Specifies the indentification system in use.  E.g. OUT, ITU, EBU, Callsign etc","ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set",,,,,,"32 bytes max",,,,,
,Metadata,4,Leaf,5,06,0E,2B,34,01,01,01,4,1,1,10,2,1,0,0,0,,,,06.0E.2B.34.01.01.01.04.01.01.10.02.01.00.00.00,,,,,,"Organisation Identifier Kind","Specifies the indentification system in use.  E.g. OUT, ITU, EBU, Callsign etc","16 bit Unicode String",,,,,,Variable,,,,,
,Metadata,1,Node,4,06,0E,2B,34,01,01,01,1,01,01,10,03,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.03.00.00.00.00,,,,,,"Programme Identifiers","Globally Unique programme identifiers",,,,,,,,,,,,
,Metadata,1,Leaf,5,06,0E,2B,34,01,01,01,1,01,01,10,03,01,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.03.01.00.00.00,,,,,,UPID,"A Unique Program Identifier (ATSC A/57) for a programme as a Work","As per ATSC standard",,,,,,,,,,"ATSC standard ATSC A/57",
,Metadata,1,Leaf,5,06,0E,2B,34,01,01,01,1,01,01,10,03,02,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.03.02.00.00.00,,,,,,UPN,"Unique Programme Number (ITVA)","As per ITVA standard",,,,,,,,,,"As per ITVA standard (not yet ratified)",
,Metadata,2,Leaf,5,06,0E,2B,34,01,01,01,2,01,01,10,03,03,00,00,00,,,,06.0E.2B.34.01.01.01.02.01.01.10.03.03.00.00.00,,,,,,"Programme number","Identifier for a programme project","ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set",,,,,,"127 bytes max",,,,,
,Metadata,1,Node,4,06,0E,2B,34,01,01,01,1,01,01,10,04,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.04.00.00.00.00,,,,,,"Physical Media identifiers","Physical media identifiers",,,,,,,,,,,,
,Metadata,1,Node,5,06,0E,2B,34,01,01,01,1,01,01,10,04,01,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.04.01.00.00.00,,,,,,"Tape Identifiers","Tape identifiers",,,,,,,,,,,,
,Metadata,1,Leaf,6,06,0E,2B,34,01,01,01,1,01,01,10,04,01,01,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.10.04.01.01.00.00,,,,,,IBTN,"EBU International Broadcast Tape Number","As per EBU standard",,,,,,,,,,"European Broadcasting Union IBTN",
,Metadata,1,Node,3,06,0E,2B,34,01,01,01,1,01,01,11,00,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.00.00.00.00.00,,,,,,"International Standard Identifiers","Internationally accepted Identifier Schemes",,,,,,,,,,,,
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,01,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.01.00.00.00.00,,,,,,ISAN,"ISO Audio-Visual Number","As per ISO standard",,,,,,,,,,"ISO 15706",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,02,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.02.00.00.00.00,,,,,,ISBN,"ISO Book Number","As per ISO standard",,,,,,,,,,"ISO 2108",
,Metadata,1,Leaf,4,06,0E,2B,34,01,01,01,1,01,01,11,03,00,00,00,00,,,,06.0E.2B.34.01.01.01.01.01.01.11.03.00.00.00.00,,,,,,ISSN,"ISO Serial Number","As per ISO standard",,,,,,,,,,"ISO 3297",
